,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,PoolArea,PoolQC,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,YearRemodAddIsMissing,HouseAge,RemodelAge,RatioBsmt,HasSecondFloor,AvgRoomSize,HasGarage,GarageAge,HasWoodDeck,TotalPorchSF,HasPorch,HasMiscFeature
13,20,RL,91.0,10652,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,1494.0,GasA,Ex,Y,SBrkr,1494,0.0,0.0,2,0,3,1,Gd,Typ,1,Gd,Attchd,RFn,3.0,TA,TA,Y,160,0,Ex,MnPrv,Shed,8,2007,New,Partial,0,1,0.0,0.0,0,213.42857142857142,1,1.0,1,33,1,0
14,20,RL,73.0,10920,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,1253.0,GasA,TA,Y,SBrkr,1253,1.0,0.0,1,1,2,1,TA,Typ,1,Fa,Attchd,RFn,1.0,TA,TA,Y,0,0,Ex,GdWo,Shed,5,2008,WD,Normal,0,48,48.0,0.5849960095770151,0,250.6,1,48.0,0,389,1,0
15,45,RM,51.0,6120,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,832.0,GasA,Ex,Y,FuseA,854,0.0,0.0,1,0,2,1,TA,Typ,0,Gd,Detchd,Unf,2.0,TA,TA,Y,48,0,Ex,GdPrv,Shed,7,2007,WD,Normal,0,78,6.0,0.0,0,170.8,1,16.0,1,112,1,0
16,20,RL,73.0,11241,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,1004.0,GasA,Ex,Y,SBrkr,1004,1.0,0.0,1,0,2,1,TA,Typ,1,TA,Attchd,Fin,2.0,TA,TA,Y,0,0,Ex,MnPrv,Shed,3,2010,WD,Normal,0,40,40.0,0.5756972111553785,0,200.8,1,40.0,0,0,0,1
17,90,RL,72.0,10791,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,Slab,TA,TA,No,ALQ,Unf,0.0,GasA,TA,Y,SBrkr,1296,0.0,0.0,2,0,2,2,TA,Typ,0,TA,CarPort,Unf,2.0,TA,TA,Y,0,0,Ex,MnPrv,Shed,10,2006,WD,Normal,0,39,39.0,0.0,0,216.0,1,39.0,0,0,0,1
18,20,RL,66.0,13695,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,TA,TA,PConc,TA,TA,No,GLQ,Unf,1114.0,GasA,Ex,Y,SBrkr,1114,1.0,0.0,1,1,3,1,Gd,Typ,0,TA,Detchd,Unf,2.0,TA,TA,Y,0,0,Ex,MnPrv,Shed,6,2008,WD,Normal,0,4,4.0,0.5798922800718133,0,185.66666666666666,1,4.0,0,102,1,0
19,20,RL,70.0,7560,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,BrkFace,Plywood,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,1029.0,GasA,TA,Y,SBrkr,1339,0.0,0.0,1,0,3,1,TA,Min1,0,Gd,Attchd,Unf,1.0,TA,TA,Y,0,0,Ex,MnPrv,Shed,5,2009,COD,Abnorml,0,51,44.0,0.4897959183673469,0,223.16666666666666,1,51.0,0,0,0,0
20,60,RL,101.0,14215,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1158.0,GasA,Ex,Y,SBrkr,2376,0.0,0.0,3,1,4,1,Gd,Typ,1,Gd,BuiltIn,RFn,3.0,TA,TA,Y,240,0,Ex,MnPrv,Shed,11,2006,New,Partial,0,1,0.0,0.0,1,264.0,1,1.0,1,154,1,0
21,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,637.0,GasA,Ex,Y,FuseF,1108,0.0,0.0,1,0,3,1,Gd,Typ,1,Gd,Attchd,Unf,1.0,TA,TA,N,0,0,Ex,GdPrv,Shed,6,2007,WD,Normal,1,77,77.0,0.0,0,184.66666666666666,1,77.0,0,205,1,0
22,20,RL,75.0,9742,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1777.0,GasA,Ex,Y,SBrkr,1795,0.0,0.0,2,0,3,1,Gd,Typ,1,Gd,Attchd,RFn,2.0,TA,TA,Y,171,0,Ex,MnPrv,Shed,9,2008,WD,Normal,0,6,6.0,0.0,0,256.42857142857144,1,6.0,1,159,1,0
23,120,RM,44.0,4224,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,Gable,CompShg,CemntBd,CmentBd,BrkFace,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,1040.0,GasA,TA,Y,SBrkr,1060,1.0,0.0,1,0,3,1,TA,Typ,1,TA,Attchd,Unf,2.0,TA,TA,Y,100,0,Ex,GdWo,Shed,6,2007,WD,Normal,0,31,31.0,0.8076923076923077,0,176.66666666666666,1,31.0,1,110,1,0
24,20,RL,72.0,8246,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,Gable,CompShg,Plywood,Plywood,BrkFace,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,1060.0,GasA,Ex,Y,SBrkr,1060,1.0,0.0,1,0,3,1,Gd,Typ,1,TA,Attchd,Unf,1.0,TA,TA,Y,406,0,Ex,MnPrv,Shed,5,2010,WD,Normal,0,42,9.0,0.8075471698113208,0,176.66666666666666,1,42.0,1,90,1,0
25,20,RL,110.0,14230,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1566.0,GasA,Ex,Y,SBrkr,1600,0.0,0.0,2,0,3,1,Gd,Typ,1,Gd,Attchd,RFn,3.0,TA,TA,Y,0,0,Ex,MnPrv,Shed,7,2009,WD,Normal,0,2,2.0,0.0,0,228.57142857142858,1,2.0,0,56,1,0
26,20,RL,60.0,7200,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,900.0,GasA,TA,Y,SBrkr,900,0.0,1.0,1,0,3,1,Gd,Typ,0,Gd,Detchd,Unf,2.0,TA,TA,Y,222,0,Ex,MnPrv,Shed,5,2010,WD,Normal,0,59,10.0,0.8,0,180.0,1,5.0,1,32,1,0
27,20,RL,98.0,11478,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1704.0,GasA,Ex,Y,SBrkr,1704,1.0,0.0,2,0,3,1,Gd,Typ,1,Gd,Attchd,RFn,3.0,TA,TA,Y,0,0,Ex,MnPrv,Shed,5,2010,WD,Normal,0,3,2.0,0.7147887323943662,0,243.42857142857142,1,2.0,0,50,1,0
28,20,RL,47.0,16321,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,1484.0,GasA,TA,Y,SBrkr,1600,1.0,0.0,1,0,2,1,TA,Typ,2,Gd,Attchd,RFn,1.0,TA,TA,Y,288,0,Ex,MnPrv,Shed,12,2006,WD,Normal,0,49,9.0,0.860512129380054,0,266.6666666666667,1,49.0,1,258,1,0
29,30,RM,60.0,6324,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,520.0,GasA,Fa,N,SBrkr,520,0.0,0.0,1,0,1,1,Fa,Typ,0,Gd,Detchd,Unf,1.0,Fa,TA,Y,49,0,Ex,MnPrv,Shed,5,2008,WD,Normal,1,81,81.0,0.0,0,130.0,1,88.0,1,87,1,0
30,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,Gambrel,CompShg,BrkFace,BrkFace,BrkFace,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,649.0,GasA,TA,N,SBrkr,1317,0.0,0.0,1,0,3,1,TA,Typ,0,Gd,Detchd,Unf,1.0,TA,Fa,N,0,0,Ex,MnPrv,Shed,7,2008,WD,Normal,1,88,88.0,0.0,1,219.5,1,88.0,0,226,1,0
31,20,RL,72.0,8544,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,1228.0,GasA,Gd,Y,SBrkr,1228,0.0,0.0,1,1,3,1,Gd,Typ,0,TA,Attchd,Unf,1.0,TA,TA,Y,0,0,Ex,MnPrv,Shed,6,2008,WD,Normal,0,42,2.0,0.0,0,204.66666666666666,1,42.0,0,65,1,0
32,20,RL,85.0,11049,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1234.0,GasA,Ex,Y,SBrkr,1234,0.0,0.0,2,0,3,1,Gd,Typ,0,TA,Attchd,RFn,2.0,TA,TA,Y,0,0,Ex,MnPrv,Shed,1,2008,WD,Normal,0,1,1.0,0.0,0,176.28571428571428,1,1.0,0,30,1,0
33,20,RL,70.0,10552,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,BrkFace,BrkFace,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1398.0,GasA,Gd,Y,SBrkr,1700,0.0,1.0,1,1,4,1,Gd,Typ,1,Gd,Attchd,RFn,2.0,TA,TA,Y,0,0,Ex,MnPrv,Shed,4,2010,WD,Normal,0,51,51.0,0.7281831187410587,0,283.3333333333333,1,51.0,0,38,1,0
34,120,RL,60.0,7313,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1561.0,GasA,Ex,Y,SBrkr,1561,1.0,0.0,2,0,2,1,Ex,Typ,1,Gd,Attchd,Fin,2.0,TA,TA,Y,203,0,Ex,MnPrv,Shed,8,2007,WD,Normal,0,2,2.0,0.7386290839205637,0,260.1666666666667,1,2.0,1,47,1,0
35,60,RL,108.0,13418,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1117.0,GasA,Ex,Y,SBrkr,2452,0.0,0.0,3,1,4,1,Gd,Typ,1,Gd,BuiltIn,Fin,3.0,TA,TA,Y,113,0,Ex,MnPrv,Shed,9,2006,WD,Normal,0,2,1.0,0.0,1,272.44444444444446,1,2.0,1,32,1,0
36,20,RL,112.0,10859,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,1097.0,GasA,Ex,Y,SBrkr,1097,0.0,0.0,1,1,3,1,TA,Typ,0,TA,Attchd,Unf,2.0,TA,TA,Y,392,0,Ex,MnPrv,Shed,6,2009,WD,Normal,0,15,14.0,0.0,0,182.83333333333334,1,14.0,1,64,1,0
37,20,RL,74.0,8532,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1297.0,GasA,Gd,Y,SBrkr,1297,0.0,1.0,1,0,3,1,TA,Typ,1,TA,Attchd,Fin,2.0,TA,TA,Y,0,0,Ex,MnPrv,Shed,10,2009,WD,Normal,0,55,19.0,0.9352351580570547,0,259.4,1,55.0,0,0,0,0
38,20,RL,68.0,7922,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,1057.0,GasA,TA,Y,SBrkr,1057,1.0,0.0,1,0,3,1,Gd,Typ,0,Gd,Detchd,Unf,1.0,TA,TA,Y,0,0,Ex,MnPrv,Shed,1,2010,WD,Abnorml,0,57,3.0,0.6915799432355724,0,211.4,1,57.0,0,52,1,0
39,90,RL,65.0,6040,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,AsbShng,Plywood,BrkFace,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,0.0,GasA,TA,N,FuseP,1152,0.0,0.0,2,0,2,2,Fa,Typ,0,Gd,Detchd,Unf,0.0,TA,TA,N,0,0,Gd,MnPrv,Shed,6,2008,WD,AdjLand,0,53,53.0,0.0,0,192.0,0,0.0,0,0,0,0
40,20,RL,84.0,8658,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1088.0,GasA,Ex,Y,SBrkr,1324,0.0,0.0,2,0,3,1,TA,Typ,1,TA,Attchd,RFn,2.0,TA,TA,Y,0,0,Ex,GdWo,Shed,12,2006,WD,Abnorml,0,41,41.0,0.5909926470588235,0,220.66666666666666,1,41.0,0,138,1,0
41,20,RL,115.0,16905,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,1350.0,GasA,Gd,Y,SBrkr,1328,0.0,1.0,1,1,2,1,TA,Typ,2,Gd,Attchd,RFn,1.0,TA,TA,P,0,0,Ex,GdPrv,Shed,7,2007,WD,Normal,0,48,48.0,0.7162962962962963,0,265.6,1,48.0,0,104,1,0
42,85,RL,67.0,9180,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,Gable,CompShg,HdBoard,HdBoard,BrkFace,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,840.0,GasA,Gd,Y,SBrkr,884,1.0,0.0,1,0,2,1,Gd,Typ,0,TA,Attchd,RFn,2.0,TA,Gd,Y,240,0,Ex,MnPrv,Shed,12,2007,WD,Normal,0,24,24.0,1.0,0,176.8,1,24.0,1,0,0,0
43,20,RL,70.0,9200,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,VinylSd,VinylSd,BrkFace,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,938.0,GasA,TA,Y,SBrkr,938,1.0,0.0,1,0,3,1,TA,Typ,0,TA,Detchd,Unf,1.0,TA,TA,Y,145,0,Ex,MnPrv,Shed,7,2008,WD,Normal,0,33,28.0,0.8219616204690832,0,187.6,1,31.0,1,0,0,0
44,20,RL,70.0,7945,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,BrkFace,Wd Sdng,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,1150.0,GasA,Ex,Y,FuseA,1150,1.0,0.0,1,0,3,1,TA,Typ,0,Gd,Attchd,RFn,1.0,TA,TA,Y,0,0,Ex,MnPrv,Shed,5,2006,WD,Normal,0,47,47.0,0.5956521739130435,0,191.66666666666666,1,47.0,0,0,0,0
45,120,RL,61.0,7658,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1752.0,GasA,Ex,Y,SBrkr,1752,1.0,0.0,2,0,2,1,Ex,Typ,1,Gd,Attchd,RFn,2.0,TA,TA,Y,196,0,Ex,MnPrv,Shed,2,2010,WD,Normal,0,5,5.0,0.2602739726027397,0,292.0,1,5.0,1,82,1,0
46,50,RL,48.0,12822,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1434.0,GasA,Ex,Y,SBrkr,2149,1.0,0.0,1,1,1,1,Gd,Typ,1,Ex,Attchd,RFn,2.0,TA,TA,Y,168,0,Gd,MnPrv,Shed,8,2009,WD,Abnorml,0,6,6.0,0.9421199442119944,1,358.1666666666667,1,6.0,1,241,1,0
